MATRIX_NAME=INDSATSUNDERTYPE_KLAGEHENVISNING;;;;;;;;;;;;;;;;;;;;;
";"Du kan klage over denne afgørelse. Klagen skal være skriftlig og skal sendes til RIM inden 2 måneder efter, at du har modtaget afgørelsen. 

RIM kan på baggrund af din klage træffe en ny afgørelse i sagen. Den nye afgørelse får du besked om senest 14 dage efter, at sagen er fuldt oplyst.

Hvis Inddrivelsescentret efter en ny vurdering af sagen fastholder afgørelsen, sender vi klagen videre til Justitsministeriet, Direktoratet for Kriminalforsorgen med en udtalelse om sagen. Du kan ikke klage over afgørelsen for krav under 15.000 kr.
";"Du kan klage over denne afgørelse. Klagen skal være skriftlig og skal sendes til RIM inden 2 måneder efter, at du har modtaget afgørelsen. 

RIM kan på baggrund af din klage træffe en ny afgørelse i sagen. Den nye afgørelse får du besked om senest 14 dage efter, at sagen er fuldt oplyst.

Hvis Inddrivelsescentret efter en ny vurdering af sagen fastholder afgørelsen, sender vi klagen videre til Justitsministeriet, Direktoratet for Kriminalforsorgen med en udtalelse om sagen. Du kan ikke klage over afgørelsen for krav under 15.000 kr.
";"Du kan klage over denne afgørelse. Klagen skal være skriftlig og skal sendes til RIM inden 2 måneder efter, at du har modtaget afgørelsen. 

RIM kan på baggrund af din klage træffe en ny afgørelse i sagen. Den nye afgørelse får du besked om senest 14 dage efter, at sagen er fuldt oplyst.

Hvis Inddrivelsescentret efter en ny vurdering af sagen fastholder afgørelsen, sender vi klagen videre til Justitsministeriet, Direktoratet for Kriminalforsorgen med en udtalelse om sagen. Du kan ikke klage over afgørelsen for krav under 15.000 kr.
";"Du kan klage over denne afgørelse. Klagen skal være skriftlig og skal sendes til RIM inden 2 måneder efter, at du har modtaget afgørelsen. 

RIM kan på baggrund af din klage træffe en ny afgørelse i sagen. Den nye afgørelse får du besked om senest 14 dage efter, at sagen er fuldt oplyst.

Hvis Inddrivelsescentret efter en ny vurdering af sagen fastholder afgørelsen, sender vi klagen videre til Justitsministeriet, Direktoratet for Kriminalforsorgen med en udtalelse om sagen. Du kan ikke klage over afgørelsen for krav under 15.000 kr.
";"Du kan klage over denne afgørelse. Klagen skal være skriftlig og skal sendes til RIM inden 2 måneder efter, at du har modtaget afgørelsen. 

RIM kan på baggrund af din klage træffe en ny afgørelse i sagen. Den nye afgørelse får du besked om senest 14 dage efter, at sagen er fuldt oplyst.

Hvis Inddrivelsescentret efter en ny vurdering af sagen fastholder afgørelsen, sender vi klagen videre til Justitsministeriet, Direktoratet for Kriminalforsorgen med en udtalelse om sagen. Du kan ikke klage over afgørelsen for krav under 15.000 kr.
";"Du kan klage over denne afgørelse. Klagen skal være skriftlig og skal sendes til RIM inden 2 måneder efter, at du har modtaget afgørelsen. 

RIM kan på baggrund af din klage træffe en ny afgørelse i sagen. Den nye afgørelse får du besked om senest 14 dage efter, at sagen er fuldt oplyst.

Hvis Inddrivelsescentret efter en ny vurdering af sagen fastholder afgørelsen, sender vi klagen videre til Justitsministeriet, Direktoratet for Kriminalforsorgen med en udtalelse om sagen. Du kan ikke klage over afgørelsen for krav under 15.000 kr.
";"Du kan klage over denne afgørelse. Klagen skal være skriftlig og skal sendes til RIM inden 2 måneder efter, at du har modtaget afgørelsen. 

RIM kan på baggrund af din klage træffe en ny afgørelse i sagen. Den nye afgørelse får du besked om senest 14 dage efter, at sagen er fuldt oplyst.

Hvis Inddrivelsescentret efter en ny vurdering af sagen fastholder afgørelsen, sender vi klagen videre til Justitsministeriet, Direktoratet for Kriminalforsorgen med en udtalelse om sagen. Du kan ikke klage over afgørelsen for krav under 15.000 kr.
";-;-;-;-;-
TVAFPRO;*;Du kan klage over denne afgørelse. Klagen skal være skriftlig og skal sendes til RIM inden 3 måneder efter, at du har modtaget denne afgørelse. RIM kan på baggrund af din klage træffe en ny afgørelse i sagen. Den nye afgørelse får du besked om senest 14 dage efter, at sagen er fuldt oplyst. Hvis RIM efter en ny vurdering af sagen fastholder afgørelsen, sender vi din klage til Landsskatteretten sammen med en udtalelse om sagen.;"Du kan klage over denne afgørelse. Klagen skal være skriftlig og skal sendes til RIM inden 2 måneder efter, at du har modtaget afgørelsen. 

RIM kan på baggrund af din klage træffe en ny afgørelse i sagen. Den nye afgørelse får du besked om senest 14 dage efter, at sagen er fuldt oplyst.

Hvis Inddrivelsescentret efter en ny vurdering af sagen fastholder afgørelsen, sender vi klagen videre til Justitsministeriet, Direktoratet for Kriminalforsorgen med en udtalelse om sagen. Du kan ikke klage over afgørelsen for krav under 15.000 kr.
";Du kan klage over denne afgørelse. Klagen skal være skriftlig og skal sendes til RIM inden 2 måneder efter, at du har modtaget afgørelsen. RIM kan på baggrund af din klage træffe en ny afgørelse i sagen. Den nye afgørelse får du besked om senest 14 dage efter, at sagen er fuldt oplyst. Hvis Inddrivelsescentret efter en ny vurdering af sagen fastholder afgørelsen, sender vi klagen videre til Forsvarsministeriet med en udtalelse om sagen. Du kan ikke klage over afgørelsen for krav under 15.000 kr.;Du kan klage over denne afgørelse. Klagen skal være skriftlig og skal sendes til RIM inden 2 måneder efter, at du har modtaget afgørelsen. RIM kan på baggrund af din klage træffe en ny afgørelse i sagen. Den nye afgørelse får du besked om senest 14 dage efter, at sagen er fuldt oplyst. Hvis Inddrivelsescentret efter en ny vurdering af sagen fastholder afgørelsen, sender vi klagen videre til Forsvarsministeriet med en udtalelse om sagen. Du kan ikke klage over afgørelsen for krav under 15.000 kr.;Du kan klage over denne afgørelse. Klagen skal være skriftlig og skal sendes til RIM inden 2 måneder efter, at du har modtaget afgørelsen. RIM kan på baggrund af din klage træffe en ny afgørelse i sagen. Den nye afgørelse får du besked om senest 14 dage efter, at sagen er fuldt oplyst. Hvis Inddrivelsescentret efter en ny vurdering af sagen fastholder afgørelsen, sender vi klagen videre til Forsvarsministeriet med en udtalelse om sagen. Du kan ikke klage over afgørelsen for krav under 15.000 kr.;"Du kan klage over denne afgørelse. Klagen skal være skriftlig og skal sendes til RIM inden 2 måneder efter, at du har modtaget afgørelsen. 

RIM kan på baggrund af din klage træffe en ny afgørelse i sagen. Den nye afgørelse får du besked om senest 14 dage efter, at sagen er fuldt oplyst.

Hvis Inddrivelsescentret efter en ny vurdering af sagen fastholder afgørelsen, sender vi klagen videre til Justitsministeriet, Direktoratet for Kriminalforsorgen med en udtalelse om sagen. Du kan ikke klage over afgørelsen for krav under 15.000 kr.
";"Du kan klage over denne afgørelse. Klagen skal være skriftlig og skal sendes til RIM inden 2 måneder efter, at du har modtaget afgørelsen. 

RIM kan på baggrund af din klage træffe en ny afgørelse i sagen. Den nye afgørelse får du besked om senest 14 dage efter, at sagen er fuldt oplyst.

Hvis Inddrivelsescentret efter en ny vurdering af sagen fastholder afgørelsen, sender vi klagen videre til Justitsministeriet, Direktoratet for Kriminalforsorgen med en udtalelse om sagen. Du kan ikke klage over afgørelsen for krav under 15.000 kr.
";"Du kan klage over denne afgørelse. Klagen skal være skriftlig og skal sendes til RIM inden 2 måneder efter, at du har modtaget afgørelsen. 

RIM kan på baggrund af din klage træffe en ny afgørelse i sagen. Den nye afgørelse får du besked om senest 14 dage efter, at sagen er fuldt oplyst.

Hvis Inddrivelsescentret efter en ny vurdering af sagen fastholder afgørelsen, sender vi klagen videre til Justitsministeriet, Direktoratet for Kriminalforsorgen med en udtalelse om sagen. Du kan ikke klage over afgørelsen for krav under 15.000 kr.
";"Du kan klage over denne afgørelse. Klagen skal være skriftlig og skal sendes til RIM inden 2 måneder efter, at du har modtaget afgørelsen. 

RIM kan på baggrund af din klage træffe en ny afgørelse i sagen. Den nye afgørelse får du besked om senest 14 dage efter, at sagen er fuldt oplyst.

Hvis Inddrivelsescentret efter en ny vurdering af sagen fastholder afgørelsen, sender vi klagen videre til Justitsministeriet, Direktoratet for Kriminalforsorgen med en udtalelse om sagen. Du kan ikke klage over afgørelsen for krav under 15.000 kr.
";"Du kan klage over denne afgørelse. Klagen skal være skriftlig og skal sendes til RIM inden 2 måneder efter, at du har modtaget afgørelsen. 

RIM kan på baggrund af din klage træffe en ny afgørelse i sagen. Den nye afgørelse får du besked om senest 14 dage efter, at sagen er fuldt oplyst.

Hvis Inddrivelsescentret efter en ny vurdering af sagen fastholder afgørelsen, sender vi klagen videre til Justitsministeriet, Direktoratet for Kriminalforsorgen med en udtalelse om sagen. Du kan ikke klage over afgørelsen for krav under 15.000 kr.
";"Du kan klage over denne afgørelse. Klagen skal være skriftlig og skal sendes til RIM inden 2 måneder efter, at du har modtaget afgørelsen. 

RIM kan på baggrund af din klage træffe en ny afgørelse i sagen. Den nye afgørelse får du besked om senest 14 dage efter, at sagen er fuldt oplyst.

Hvis Inddrivelsescentret efter en ny vurdering af sagen fastholder afgørelsen, sender vi klagen videre til Justitsministeriet, Direktoratet for Kriminalforsorgen med en udtalelse om sagen. Du kan ikke klage over afgørelsen for krav under 15.000 kr.
";"Du kan klage over denne afgørelse. Klagen skal være skriftlig og skal sendes til RIM inden 2 måneder efter, at du har modtaget afgørelsen. 

RIM kan på baggrund af din klage træffe en ny afgørelse i sagen. Den nye afgørelse får du besked om senest 14 dage efter, at sagen er fuldt oplyst.

Hvis Inddrivelsescentret efter en ny vurdering af sagen fastholder afgørelsen, sender vi klagen videre til Justitsministeriet, Direktoratet for Kriminalforsorgen med en udtalelse om sagen. Du kan ikke klage over afgørelsen for krav under 15.000 kr.
";"Du kan klage over denne afgørelse. Klagen skal være skriftlig og skal sendes til RIM inden 2 måneder efter, at du har modtaget afgørelsen. 

RIM kan på baggrund af din klage træffe en ny afgørelse i sagen. Den nye afgørelse får du besked om senest 14 dage efter, at sagen er fuldt oplyst.

Hvis Inddrivelsescentret efter en ny vurdering af sagen fastholder afgørelsen, sender vi klagen videre til Justitsministeriet, Direktoratet for Kriminalforsorgen med en udtalelse om sagen. Du kan ikke klage over afgørelsen for krav under 15.000 kr.
";"Du kan klage over denne afgørelse. Klagen skal være skriftlig og skal sendes til RIM inden 2 måneder efter, at du har modtaget afgørelsen. 

RIM kan på baggrund af din klage træffe en ny afgørelse i sagen. Den nye afgørelse får du besked om senest 14 dage efter, at sagen er fuldt oplyst.

Hvis Inddrivelsescentret efter en ny vurdering af sagen fastholder afgørelsen, sender vi klagen videre til Justitsministeriet, Direktoratet for Kriminalforsorgen med en udtalelse om sagen. Du kan ikke klage over afgørelsen for krav under 15.000 kr.
";"Du kan klage over denne afgørelse. Klagen skal være skriftlig og skal sendes til RIM inden 2 måneder efter, at du har modtaget afgørelsen. 

RIM kan på baggrund af din klage træffe en ny afgørelse i sagen. Den nye afgørelse får du besked om senest 14 dage efter, at sagen er fuldt oplyst.

Hvis Inddrivelsescentret efter en ny vurdering af sagen fastholder afgørelsen, sender vi klagen videre til Justitsministeriet, Direktoratet for Kriminalforsorgen med en udtalelse om sagen. Du kan ikke klage over afgørelsen for krav under 15.000 kr.
";-;-;-;-;-
SBTVAD;*;Du kan klage over denne afgørelse. Klagen skal være skriftlig og skal sendes til RIM inden 3 måneder efter, at du har modtaget denne afgørelse. RIM kan på baggrund af din klage træffe en ny afgørelse i sagen. Den nye afgørelse får du besked om senest 14 dage efter, at sagen er fuldt oplyst. Hvis RIM efter en ny vurdering af sagen fastholder afgørelsen, sender vi din klage til Landsskatteretten sammen med en udtalelse om sagen.;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
SBTVAP;*;Du kan klage over denne afgørelse. Klagen skal være skriftlig og skal sendes til RIM inden 3 måneder efter, at du har modtaget denne afgørelse. RIM kan på baggrund af din klage træffe en ny afgørelse i sagen. Den nye afgørelse får du besked om senest 14 dage efter, at sagen er fuldt oplyst. Hvis RIM efter en ny vurdering af sagen fastholder afgørelsen, sender vi din klage til Landsskatteretten sammen med en udtalelse om sagen.;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
SBFRAD;*;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
SBKULA;*;Du kan klage over denne afgørelse. Klagen skal være skriftlig og skal sendes til RIM inden 3 måneder efter, at du har modtaget denne afgørelse. RIM kan på baggrund af din klage træffe en ny afgørelse i sagen. Den nye afgørelse får du besked om senest 14 dage efter, at sagen er fuldt oplyst. Hvis RIM efter en ny vurdering af sagen fastholder afgørelsen, sender vi din klage til Landsskatteretten sammen med en udtalelse om sagen.;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
DOEDSBO;*;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
EFTERGIVELSE;*;Du kan klage over denne afgørelse. Klagen skal være skriftlig og skal sendes til RIM inden 3 måneder efter, at du har modtaget denne afgørelse. RIM kan på baggrund af din klage træffe en ny afgørelse i sagen. Den nye afgørelse får du besked om senest 14 dage efter, at sagen er fuldt oplyst. Hvis RIM efter en ny vurdering af sagen fastholder afgørelsen, sender vi din klage til Landsskatteretten sammen med en udtalelse om sagen.;Eftergivelse af bøder og konfiskationsbeløb sker efter bekendtgørelse nr. 1365 af 19. december 2008 om inddrivelse af gæld til det offentlige § 33 og klageinstansen er Justitsministeriet, Direktoratet for Kriminalforsorgen, jf. § 1, stk. 1 i bekendtgørelse nr. 1023 af 17. oktober 2005 om klageadgang i sager om inddrivelse af bøder, konfiskationsbeløb og sagsomkostninger. Klagefristen for disse er 2 måneder. ;Eftergivelse af bøder og konfiskationsbeløb sker efter bekendtgørelse nr. 981 af 26. september 2006 om inddrivelse af gæld til det offentlige § 33 og klageinstansen er Forsvarsministeriet, jf. § 1, stk. 1 i bekendtgørelse nr. 1023 af 17. oktober 2005 om klageadgang i sager om inddrivelse af bøder, konfiskationsbeløb og sagsomkostninger. Klagefristen for disse er 2 måneder.;Eftergivelse af bøder og konfiskationsbeløb sker efter bekendtgørelse nr. 981 af 26. september 2006 om inddrivelse af gæld til det offentlige § 33 og klageinstansen er Forsvarsministeriet, jf. § 1, stk. 1 i bekendtgørelse nr. 1023 af 17. oktober 2005 om klageadgang i sager om inddrivelse af bøder, konfiskationsbeløb og sagsomkostninger. Klagefristen for disse er 2 måneder.;Eftergivelse af bøder og konfiskationsbeløb sker efter bekendtgørelse nr. 981 af 26. september 2006 om inddrivelse af gæld til det offentlige § 33 og klageinstansen er Forsvarsministeriet, jf. § 1, stk. 1 i bekendtgørelse nr. 1023 af 17. oktober 2005 om klageadgang i sager om inddrivelse af bøder, konfiskationsbeløb og sagsomkostninger. Klagefristen for disse er 2 måneder.;Eftergivelse af bøder og konfiskationsbeløb sker efter bekendtgørelse nr. 1365 af 19. december 2008 om inddrivelse af gæld til det offentlige § 33 og klageinstansen er Justitsministeriet, Direktoratet for Kriminalforsorgen, jf. § 1, stk. 1 i bekendtgørelse nr. 1023 af 17. oktober 2005 om klageadgang i sager om inddrivelse af bøder, konfiskationsbeløb og sagsomkostninger. Klagefristen for disse er 2 måneder. ;Eftergivelse af bøder og konfiskationsbeløb sker efter bekendtgørelse nr. 1365 af 19. december 2008 om inddrivelse af gæld til det offentlige § 33 og klageinstansen er Justitsministeriet, Direktoratet for Kriminalforsorgen, jf. § 1, stk. 1 i bekendtgørelse nr. 1023 af 17. oktober 2005 om klageadgang i sager om inddrivelse af bøder, konfiskationsbeløb og sagsomkostninger. Klagefristen for disse er 2 måneder. ;Eftergivelse af bøder og konfiskationsbeløb sker efter bekendtgørelse nr. 1365 af 19. december 2008 om inddrivelse af gæld til det offentlige § 33 og klageinstansen er Justitsministeriet, Direktoratet for Kriminalforsorgen, jf. § 1, stk. 1 i bekendtgørelse nr. 1023 af 17. oktober 2005 om klageadgang i sager om inddrivelse af bøder, konfiskationsbeløb og sagsomkostninger. Klagefristen for disse er 2 måneder. ;Eftergivelse af bøder og konfiskationsbeløb sker efter bekendtgørelse nr. 1365 af 19. december 2008 om inddrivelse af gæld til det offentlige § 33 og klageinstansen er Justitsministeriet, Direktoratet for Kriminalforsorgen, jf. § 1, stk. 1 i bekendtgørelse nr. 1023 af 17. oktober 2005 om klageadgang i sager om inddrivelse af bøder, konfiskationsbeløb og sagsomkostninger. Klagefristen for disse er 2 måneder. ;Eftergivelse af bøder og konfiskationsbeløb sker efter bekendtgørelse nr. 1365 af 19. december 2008 om inddrivelse af gæld til det offentlige § 33 og klageinstansen er Justitsministeriet, Direktoratet for Kriminalforsorgen, jf. § 1, stk. 1 i bekendtgørelse nr. 1023 af 17. oktober 2005 om klageadgang i sager om inddrivelse af bøder, konfiskationsbeløb og sagsomkostninger. Klagefristen for disse er 2 måneder. ;Eftergivelse af bøder og konfiskationsbeløb sker efter bekendtgørelse nr. 1365 af 19. december 2008 om inddrivelse af gæld til det offentlige § 33 og klageinstansen er Justitsministeriet, Direktoratet for Kriminalforsorgen, jf. § 1, stk. 1 i bekendtgørelse nr. 1023 af 17. oktober 2005 om klageadgang i sager om inddrivelse af bøder, konfiskationsbeløb og sagsomkostninger. Klagefristen for disse er 2 måneder. ;Eftergivelse af bøder og konfiskationsbeløb sker efter bekendtgørelse nr. 1365 af 19. december 2008 om inddrivelse af gæld til det offentlige § 33 og klageinstansen er Justitsministeriet, Direktoratet for Kriminalforsorgen, jf. § 1, stk. 1 i bekendtgørelse nr. 1023 af 17. oktober 2005 om klageadgang i sager om inddrivelse af bøder, konfiskationsbeløb og sagsomkostninger. Klagefristen for disse er 2 måneder. ;Eftergivelse af bøder og konfiskationsbeløb sker efter bekendtgørelse nr. 1365 af 19. december 2008 om inddrivelse af gæld til det offentlige § 33 og klageinstansen er Justitsministeriet, Direktoratet for Kriminalforsorgen, jf. § 1, stk. 1 i bekendtgørelse nr. 1023 af 17. oktober 2005 om klageadgang i sager om inddrivelse af bøder, konfiskationsbeløb og sagsomkostninger. Klagefristen for disse er 2 måneder. ;Eftergivelse af bøder og konfiskationsbeløb sker efter bekendtgørelse nr. 1365 af 19. december 2008 om inddrivelse af gæld til det offentlige § 33 og klageinstansen er Justitsministeriet, Direktoratet for Kriminalforsorgen, jf. § 1, stk. 1 i bekendtgørelse nr. 1023 af 17. oktober 2005 om klageadgang i sager om inddrivelse af bøder, konfiskationsbeløb og sagsomkostninger. Klagefristen for disse er 2 måneder. ;Eftergivelse af bøder og konfiskationsbeløb sker efter bekendtgørelse nr. 1365 af 19. december 2008 om inddrivelse af gæld til det offentlige § 33 og klageinstansen er Justitsministeriet, Direktoratet for Kriminalforsorgen, jf. § 1, stk. 1 i bekendtgørelse nr. 1023 af 17. oktober 2005 om klageadgang i sager om inddrivelse af bøder, konfiskationsbeløb og sagsomkostninger. Klagefristen for disse er 2 måneder. ;-;-;-;-;-
GAELDSSANERING;*;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
TVANGSOPLOESNING;*;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
INDGIVELSE_AF_KONKURSBEGAERING;*;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
KONKURS_PERSONLIG;*;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
KONKURS_SELSKABER;*;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
REKONSTRUKTION;*;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
KREDITORORDNING;*;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
UDLAEG;*;Klage over udlægsforretningen kan sendes til Fogedretten senest 4 uger fra den dato, hvor udlægget blev foretaget. Fogedretten kan dog undtagelsesvis indtil 1 år efter udlægsforretningen tillade, at en klage behandles. ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
*;BEBB afgørelse færdig;Du kan klage over denne afgørelse. Klagen skal være skriftlig og skal sendes til RIM inden 3 måneder efter, at du har modtaget denne afgørelse. RIM kan på baggrund af din klage træffe en ny afgørelse i sagen. Den nye afgørelse får du besked om senest 14 dage efter, at sagen er fuldt oplyst. Hvis RIM efter en ny vurdering af sagen fastholder afgørelsen, sender vi din klage til Landsskatteretten sammen med en udtalelse om sagen.;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
